"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","291","3.015","19.6","24.7","20.3","19.6","11.3","4.1","0.3",".",".",".",".",".",".",".",".","."
"Directed Study","198
201","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","23","3.701","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","26","3.780","61.5","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","21","3.461","4.8","81.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
300","22","3.846","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","23","3.655","34.8","60.9","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","19","3.672","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","22","3.813","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","22","3.910","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","24","3.795","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","22","3.659","31.8","68.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","287","3.753","53.7","43.2","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","129","2.777","11.6","12.4","30.2","13.2","31.0",".","0.8","0.8",".",".",".",".",".",".",".","."
"","301
002","291","3.085","23.4","16.5","31.6","9.3","18.6",".",".","0.3",".",".",".",".",".",".","0.3","."
"Business Law","Course Total","420","2.990","19.8","15.2","31.2","10.5","22.4",".","0.2","0.5",".",".",".",".",".",".","0.2","."
"","001
302","27","3.320","33.3","18.5","25.9","11.1",".","3.7",".","7.4",".",".",".",".",".",".",".","."
"","302
002","21","3.550","52.4","9.5","23.8","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","48","3.422","41.7","14.6","25.0","10.4",".","2.1",".","6.3",".",".",".",".",".",".",".","."
"","303
001","108","3.093","30.6","10.2","38.0","4.6","12.0","1.9","2.8",".",".",".",".",".",".",".",".","."
"","303
002","95","3.183","32.6","12.6","33.7","2.1","14.7","1.1","1.1","1.1",".",".",".",".",".","1.1",".","."
"Business Statistics","Course Total","203","3.134","31.5","11.3","36.0","3.4","13.3","1.5","2.0","0.5",".",".",".",".",".","0.5",".","."
"","304
001","57","3.455","29.8","38.6","22.8","5.3","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"","304
002","63","3.429","25.4","38.1","33.3","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","120","3.441","27.5","38.3","28.3","4.2","0.8",".",".","0.8",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","399
201","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
203","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
206","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
208","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
212","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","14","3.775","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","001
700","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
700","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","54","3.796","61.1","37.0","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","30","3.883","76.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
701","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","56","3.884","76.8","23.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
