"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","704
001","","31","3.500","29.0","48.4","9.7","9.7",".",".",".",".",".",".",".",".","3.2",".",".","."
"","704
002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Managers","Course Total","","39","3.539","33.3","46.2","10.3","7.7",".",".",".",".",".",".",".",".","2.6",".",".","."
"Adv Statistical Methods I","706
001","","40","3.288","22.5","32.5","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","27","3.889","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics & Social Responsblty","Course Total","","39","3.859","76.9","17.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","756
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","20","3.421","15.0","50.0","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","765
002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","003
765","","19","3.421","47.4","21.1","21.1",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","765
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","20","3.425","45.0","25.0","20.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","765
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
006","","35","3.333","8.6","5.7","5.7","5.7",".",".",".","71.4","2.9",".",".",".",".",".",".","."
"","765
007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","93","3.528","28.0","19.4","12.9","2.2","1.1","1.1",".","34.4","1.1",".",".",".",".",".",".","."
"","799
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
214","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Panel Data Analysis","806
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GEN BUS
231","Dept. Total","","1759","3.304","34.7","24.4","20.0","7.3","9.0","1.0","0.3","2.2","0.1","0.9",".",".","0.1","0.1","0.1","."
