"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","2047","3.146","27.6","18.7","23.9","8.8","6.8","3.2","1.8","7.5","0.2","0.9","",".","0.1","0.1","0.2","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","2.482","10.2","13.0","26.9","18.5","13.9","5.6","10.2",".",".",".","",".",".",".","1.9",".","."
"Sophomore","","387","2.915","14.2","17.8","35.9","14.0","10.1","3.9","2.3",".","0.3","1.0","",".",".",".","0.3","0.3","."
"Junior","","385","2.990","21.3","16.6","31.2","12.7","9.4","4.9","1.8",".",".","2.1","",".",".",".",".",".","."
"Senior","","568","3.189","33.3","18.8","25.9","7.7","7.6","4.4","1.2","0.2",".","0.5","",".",".","0.4",".",".","."
"Undergraduates","","1448","3.013","23.3","17.5","30.0","11.5","9.2","4.5","2.3","0.1","0.1","1.0","",".",".","0.1","0.2","0.1","."
"Special","","61","3.393","42.6","18.0","9.8","9.8","3.3","1.6","1.6","3.3","1.6","3.3","",".",".",".","1.6","1.6","1.6"
"Graduate","","538","3.647","37.4","21.7","8.9","1.5","0.7",".","0.4","28.1","0.6","0.2","",".","0.4",".",".","0.2","."
"","Dept. Total","2047","3.146","27.6","18.7","23.9","8.8","6.8","3.2","1.8","7.5","0.2","0.9","",".","0.1","0.1","0.2","0.1","0.0"
