"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","2.250",".",".",".","50.0","50.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","37","3.505","51.4","16.2","21.6","5.4","5.4",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","213","3.397","46.9","22.1","15.5","5.2","6.1","3.8",".",".","",".","0.5","",".",".",".",".",".","."
"Senior","541","3.384","44.9","24.2","14.8","5.9","4.8","2.6","0.6","0.6","",".","1.5","",".",".","0.2",".",".","."
"Undergraduates","793","3.391","45.6","23.2","15.3","5.8","5.3","2.8","0.4","0.4","",".","1.1","",".",".","0.1",".",".","."
"Special","3","1.750",".","33.3",".",".",".",".","33.3","33.3","",".",".","",".",".",".",".",".","."
"Graduate","21","3.643","28.6","28.6","9.5",".",".",".",".","28.6","",".",".","",".","4.8",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
