"","999
042","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
044","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
045","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
046","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","15","3.966","80.0",".","6.7",".",".","",".","",".",".",".",".","",".",".","13.3",".",".","."
"ELPA
305","Dept. Total","493","3.920","72.2","9.7","2.0",".","0.2","",".","",".","9.9","0.2",".","",".","3.4","1.8","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","12","3.786","83.3",".","8.3",".","8.3","",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","14","3.750","78.6",".","14.3",".","7.1","",".","",".",".",".",".","",".",".",".",".",".","."
"Special","","49","3.894","81.6","14.3","4.1",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Graduate","","419","3.929","70.9","9.3","1.2",".",".","",".","",".","11.7","0.2",".","",".","4.1","2.1","0.5",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","10","3.800","70.0","20.0","10.0",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Professionals","","11","3.818","72.7","18.2","9.1",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","493","3.920","72.2","9.7","2.0",".","0.2","",".","",".","9.9","0.2",".","",".","3.4","1.8","0.4",".","."
