"INTEGRATED LIBERAL STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"198","002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"198","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198","011","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","014","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","016","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","017","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","031","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","039","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","040","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198","075","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198","081","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198","082","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","083","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","149","",".",".",".",".",".",".",".",".",".","98.7",".",".",".","0.7","0.7","."
"199
Directed Study","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200
Critical Thinkng & Expressn","001","","74","3.230","17.6","37.8","31.1","5.4","6.8",".","1.4",".",".",".",".",".",".",".",".","."
"201
W Culture:Sci,Tech,Philos I","001","","73","3.342","34.2","30.1","17.8","11.0","5.5",".","1.4",".",".",".",".",".",".",".",".","."
"202
W Culture:Sci,Tech,Phil II","001","","109","3.124","15.6","31.2","32.1","9.2","4.6","0.9","2.8","0.9",".",".",".",".",".","2.8",".","."
"204
West Cult: Lit&The Arts II","001","","180","3.253","20.0","32.8","32.2","10.6","1.7","0.6","1.1","1.1",".",".",".",".",".",".",".","."
"205
W Cult:Pol,Econ&Soc Thght I","001","","19","3.188","21.1","10.5","31.6","21.1",".",".",".","15.8",".",".",".",".",".",".",".","."
"206
W Cul:Pol,Econ&Soc Thght II","001","","197","3.608","53.3","31.0","8.6","2.5","0.5","0.5","2.0","0.5",".",".",".",".",".","0.5",".","0.5"
"208","001","","52","2.904","5.8","21.2","42.3","17.3","11.5",".","1.9",".",".",".",".",".",".",".",".","."
"208","002","","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Western Culture II","Course Total","","62","2.992","8.1","25.8","40.3","14.5","9.7",".","1.6",".",".",".",".",".",".",".",".","."
"234
Genres-Westrn Relig Writing","001","","10","3.100","20.0","50.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"251
Contemporary Phy Sciences","001","","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"275","001","","19","3.447","21.1","47.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"275","002","","14","3.403","42.9","14.3","14.3","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Special Topics in ILS","Course Total","","33","3.430","30.3","33.3","24.2","6.1","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"400
Capstone Integration Seminar","001","","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Global Culture Capstone Smr","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Integrated LiberalStudies","Course Total","","6","3.735","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
