"","990
020","","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
060","","3","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","","",""
"Independent Reading","999
001","","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"IND REL
492","Dept. Total","","53","3.374","43.4","17.0","13.2","7.5","5.7","1.9","",".","1.9","",".",".","",".","7.5","",".","1.9",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","2.333",".",".","25.0",".","50.0",".","",".",".","",".",".","",".",".","",".","25.0",".","."
"Senior","","","3","3.167",".","66.7",".","33.3",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","7","2.750",".","28.6","14.3","14.3","28.6",".","",".",".","",".",".","",".",".","",".","14.3",".","."
"Special","","","5","3.300","40.0","20.0",".","40.0",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","41","3.505","51.2","14.6","14.6","2.4","2.4","2.4","",".","2.4","",".",".","",".","9.8","",".",".",".","."
"","Dept. Total","","53","3.374","43.4","17.0","13.2","7.5","5.7","1.9","",".","1.9","",".",".","",".","7.5","",".","1.9",".","."
