"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"Print&Electronic Media Dsgn","Course Total","","18","3.528","38.9","38.9","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"660
Stat Tech in Comm Research","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","8","3.893","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"699","020","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699","025","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","04","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","26","3.974","84.6","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","7.7"
"750
Eval-Cont Education Progrms","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"806
Concep&Design-Mass Com Rsch","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","6","2.933","66.7",".",".",".",".",".","16.7",".",".",".",".",".","16.7",".",".","."
"875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","8","3.273","75.0",".",".",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
