"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"302
Practical French Converstn","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311","001","","9","3.300","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"311","002","","14","3.405","35.7","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","7.1"
"Avance express orale&ecrite","Course Total","","23","3.361","26.1","30.4","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","4.3"
"314
Intro to Business French","001","","16","3.667","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"321","001","","18","3.781","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"321","002","","23","3.766","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","41","3.773","56.1","41.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"322","001","","18","3.677","50.0","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"322","002","","19","3.598","36.8","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3"
"Intro French Lit-19 & 20 C","Course Total","","37","3.637","43.2","40.5","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".","2.7"
"347
Civ Franc:orig au 18e siecl","001","","26","3.537","61.5","11.5","7.7","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"348
Civ France:Revolutn-contemp","001","","19","3.567","31.6","47.4","10.5","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"420
Topic-French: Study Abroad","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"429
Intro to Romance Languages","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"433
20th-Century French Lit","001","","14","3.681","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"449
Questions de Civ Francaise","001","","13","3.711","53.8","23.1","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"461","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"461","001","","9","3.810","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics in French Literature","Course Total","","10","3.781","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"524
Tech Expressn Ecirt&Oral II","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"639
Litterature-XVIIe Siecle","001","","11","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.870","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
French Lit-14th & 15th C","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"820
College Teaching of French","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Issues-Mthds Teachng Fr&Itl","001","","19","3.859","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Grammaire Et Style","001","","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"901
Smr-Materials&Methods-Rsch","001","","10","3.707","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"947
Smr: Questions-Litterature","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 208 of 397",""
