"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","23","3.795","65.2","21.7","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","116","002","","24","3.783","62.5","25.0","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","116","003","","22","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","69","3.769","58.0","33.3","5.8",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","","49","3.571","44.9","24.5","30.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197","001","","21","3.167","14.3","23.8","47.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","197","002","","25","3.460","32.0","32.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","","Course Total","","46","3.326","23.9","28.3","39.1","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","21","3.810","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","300","002","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","52","3.931","94.2","1.9","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","32","3.355","21.9","37.5","34.4",".",".","3.1",".","3.1",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","16","3.344","18.8","37.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","37","3.419","48.6","16.2","18.9","2.7","13.5",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321","001","","42","3.179","19.0","28.6","33.3","7.1","11.9",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","22","3.857","72.7","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"Phy Ed-Elem School Children","","Course Total","","59","3.948","89.8","6.8","1.7",".",".",".",".",".",".",".",".",".",".",".",".","1.7"
"Specialized Tchg Experience","332","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","56","3.384","42.9","25.0","17.9","5.4","3.6","5.4",".",".",".",".",".",".",".",".",".","."
"Intro to Motor Development","360","001","","43","3.477","32.6","48.8","14.0",".","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","37","3.257","27.0","27.0","24.3","13.5","8.1",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","399","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","12","3.864","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","42","3.440","35.7","31.0","31.0",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
