"","990
080","4","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research and Thesis","Course Total","18","",".",".",".",".",".",".",".","88.9","5.6",".",".","",".","5.6",".",".","."
"Spec Work-Ag & Appl Economics","999
063","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"A A E
108","Dept. Total","602","3.111","29.1","16.1","22.6","11.0","13.1","1.7","1.0","3.5","0.2",".",".","",".","1.2","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","72","2.688","13.9","9.7","23.6","26.4","19.4","4.2","2.8",".",".",".",".","",".",".",".",".","."
"Sophomore","","114","3.016","21.9","13.2","33.3","10.5","17.5","1.8",".","1.8",".",".",".","",".",".",".",".","."
"Junior","","133","3.037","24.8","17.3","27.1","12.0","15.0","2.3","0.8",".",".",".",".","",".",".","0.8",".","."
"Senior","","182","3.185","37.4","15.9","18.7","9.3","13.7","1.1","1.6","0.5",".",".",".","",".","0.5","0.5","0.5","."
"Undergraduates","","501","3.032","27.1","14.8","25.0","12.8","15.8","2.0","1.2","0.6",".",".",".","",".","0.2","0.4","0.2","."
"Special","","5","4.000","60.0",".",".",".",".",".",".","20.0",".",".",".","",".",".",".","20.0","."
"Graduate","","96","3.633","37.5","24.0","11.5","2.1",".",".",".","17.7","1.0",".",".","",".","6.3",".",".","."
"","Dept. Total","602","3.111","29.1","16.1","22.6","11.0","13.1","1.7","1.0","3.5","0.2",".",".","",".","1.2","0.3","0.3","."
