"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
015","17","3.294","35.3","17.6","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
016","18","3.361","27.8","22.2","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
017","16","3.281","12.5","37.5","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
018","15","3.333","26.7","26.7","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
019","15","3.300","40.0",".","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
020","13","3.385","30.8","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","344
021","17","3.324","29.4","17.6","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","022
344","16","3.344","31.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","023
344","16","3.344","31.3","18.8","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
024","17","3.324","23.5","41.2","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","391","3.334","28.9","26.9","28.9","12.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"","345
001","156","2.752","21.8","10.9","19.2","15.4","22.4","7.1","2.6",".",".",".",".",".",".",".",".","0.6"
"","345
002","256","2.877","23.0","10.5","23.0","14.1","27.0","0.4","2.0",".",".",".",".",".",".",".",".","."
"","345
003","223","2.876","30.0","4.0","32.7",".","25.6","2.7","4.5",".",".",".",".",".",".","0.4",".","."
"","345
004","24","3.396","37.5","29.2","12.5","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","659","2.866","25.6","9.1","25.0","9.7","24.6","2.7","2.9",".",".",".",".",".",".","0.2",".","0.2"
"","346
001","9","3.167","22.2","44.4","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","346
002","11","3.529","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","20","3.359","35.0","35.0","15.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","47","2.819","23.4","12.8","23.4","14.9","14.9","6.4","4.3",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","20","3.600","55.0","30.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","27","3.000","25.9","18.5","37.0","3.7",".","11.1","3.7",".",".",".",".",".",".",".",".","."
"Physical Chemistry","001
561","18","2.389","22.2",".","11.1","22.2","27.8","5.6","11.1",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","46","2.837","17.4","19.6","26.1","13.0","17.4",".","6.5",".",".",".",".",".",".",".",".","."
"","563
001","16","3.094","25.0","12.5","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","563
002","12","3.458","41.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
563","16","3.156","25.0","25.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","004
563","18","3.389","38.9","16.7","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","005
563","12","3.458","58.3","8.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","563
006","11","3.273","45.5","9.1","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","563
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","90","3.326","38.9","14.4","30.0","7.8","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"","564
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","13","3.125","23.1","15.4","38.5","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".","."
"Biophysical Chemistry","565
001","13","3.269","30.8","15.4","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","567
001","8","3.313","50.0","12.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","567
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 171 of 397",""
