"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Terr Vertbrt:Life Hist&Ecol","001","","56","2.973","26.8","10.7","28.6","16.1","8.9","3.6","3.6","1.8",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","23","2.477","4.3",".","43.5","4.3","39.1",".","4.3",".",".",".",".",".",".",".",".","4.3"
"375","001","","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","32","3.734","53.1","40.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","64","3.211","39.1","15.6","21.9","10.9","7.8","1.6","3.1",".",".",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"515
Renewable Resources Policy","001","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","10","3.550","30.0","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","27","3.426","48.1","25.9","11.1",".","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Seminar","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","23","",".",".",".",".",".",".",".","87.0",".",".",".","13.0",".",".",".","."
