"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","80","4.000","1.3",".",".",".",".",".",".","96.3",".",".",".",".","2.5",".",".","."
"Vet Diag&Therapeut Techniq","625
001","72","4.000","93.1",".",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","81","3.494","32.1","37.0","28.4","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","17","4.000","70.6",".",".",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","22","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","25","4.000","36.0",".",".",".",".",".",".","64.0",".",".",".",".",".",".",".","."
"","670
001","30","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"","002
670","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","670
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","37","4.000","21.6",".",".",".",".",".",".","78.4",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","52","4.000","38.5",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"","675
001","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","002
675","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","675
004","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","33","4.000","42.4",".",".",".",".",".",".","57.6",".",".",".",".",".",".",".","."
"","008
675","16","4.000","6.3",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"","675
009","81","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
015","73","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
017","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
018","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","019
675","81","3.049","11.1","21.0","50.6","3.7","12.3","1.2",".",".",".",".",".",".",".",".",".","."
"","675
022","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","474","3.125","7.6","3.6","8.6","0.6","2.1","0.2",".","77.2",".",".",".",".",".",".",".","."
"","678
001","44","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","678
002","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","52","4.000","63.5",".",".",".",".",".",".","36.5",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","19","4.000","36.8",".",".",".",".",".",".","63.2",".",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
699","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","699
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","23","4.000","56.5",".",".",".",".",".",".","43.5",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","8","4.000","50.0",".",".",".",".",".",".","37.5",".",".",".",".",".",".","12.5","."
"Prod Med III-Appl Dy Nutr","705
001","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Production Medicine IV","707
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 388 of 397",""
