"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313
001","","16","3.750","81.3",".","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Public School Adm-America","500
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Ed Admin","Course Total","","15","3.976","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700
047","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"Intro-Elem & Sec Educ Admin","702
001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
735","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
735","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","Course Total","","32","3.922","90.6","3.1","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilitating Adult Learning","742
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
001","","18","3.941","88.9",".","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","825
002","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","Course Total","","35","3.912","85.7","5.7","5.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","830
001","","21","3.947","81.0","9.5",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","002
830","","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","Course Total","","42","3.863","71.4","21.4","2.4",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Financng Postsecondry Educ","001
831","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadershp-Inclusive Schling","835
001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Leg Aspct-Spec Ed&Pupl Serv","842
001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","845
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","002
845","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","Course Total","","26","3.980","92.3","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"The School Superintendency","846
001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Pro Devel&Orgniztn Learning","848
001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860
001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
001","","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship in Ed Admin","900
047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
940","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Educational Admin","Course Total","","43","3.942","90.7","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
