"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","86","3.553","41.9","38.4","12.8","3.5","1.2",".","1.2",".",".",".",".",".","1.2",".",".","."
"","300
002","88","3.909","88.6","6.8","3.4",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","174","3.734","65.5","22.4","8.0","1.7","1.1",".","0.6",".",".",".",".",".","0.6",".",".","."
"Behav Anal:Person-Disabilty","330
001","26","3.673","65.4","19.2","11.5",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Families-Individs w/ Disabils","450
001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","472
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv","Course Total","31","3.903","87.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","475
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
478","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Psych-Medical Aspects","550
001","20","3.568","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","630
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
019","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
010","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
660","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Special Topics","Course Total","26","3.920","80.8","15.4",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","690
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Couns & Job Placemnt","725
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec St-Indiv w/Disablties","802
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
