"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","155","2.926","21.3","11.6","40.0","5.8","12.9","6.5","1.9",".",".",".",".",".",".",".",".","."
"","201
002","135","2.900","23.7","6.7","37.8","7.4","17.0","5.9","1.5",".",".",".",".",".",".",".",".","."
"Statics","Course Total","290","2.914","22.4","9.3","39.0","6.6","14.8","6.2","1.7",".",".",".",".",".",".",".",".","."
"","202
001","24","2.438","8.3","8.3","20.8","29.2","16.7","12.5","4.2",".",".",".",".",".",".",".",".","."
"","202
002","21","2.524",".","19.0","19.0","38.1","14.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"","003
202","24","2.583",".","16.7","25.0","25.0","29.2","4.2",".",".",".",".",".",".",".",".",".","."
"","004
202","19","2.421","5.3","10.5","10.5","31.6","36.8",".","5.3",".",".",".",".",".",".",".",".","."
"","005
202","19","2.842","21.1","21.1","5.3","21.1","26.3","5.3",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","107","2.556","6.5","15.0","16.8","29.0","24.3","5.6","2.8",".",".",".",".",".",".",".",".","."
"","001
303","24","2.896","12.5","12.5","45.8","16.7","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"","303
002","25","3.100","8.0","24.0","56.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","303
003","18","3.083","5.6","38.9","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
303","22","3.114","18.2","18.2","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","89","3.045","11.2","22.5","42.7","15.7","5.6","2.2",".",".",".",".",".",".",".",".",".","."
"","304
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","3","***","","","","","","","","","","","","","","","",""
"","307
001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","12","3.542","58.3","8.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","54","3.417","31.5","29.6","31.5","5.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"Matrl-Constructd Facilities","395
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","28","2.964","17.9","28.6","25.0","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Honors in Research","489
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","22","2.750","13.6","9.1","27.3","9.1","27.3","4.5",".","4.5",".",".",".",".",".",".","4.5","."
"Exp Vib & Dynamic Sys Anal","540
001","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","18","3.083","16.7","27.8","38.9","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"","569
001","22","3.523","36.4","31.8","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
569","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","Course Total","37","3.622","43.2","37.8","18.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
601","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
601","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","23","3.550","34.8","30.4","17.4","4.3",".",".",".","13.0",".",".",".",".",".",".",".","."
"","004
601","9","3.625","33.3","44.4","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","60","3.616","38.3","40.0","13.3","1.7",".",".",".","6.7",".",".",".",".",".",".",".","."
