"DESIGN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","111","2.919","12.6","25.2","30.6","14.4","9.9","5.4","1.8",".",".",".",".",".",".",".",".","."
"","154","001","13","3.192","15.4","30.8","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","154","002","16","3.375","31.3","18.8","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","29","3.293","24.1","24.1","41.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","210","001","15","3.200","20.0","33.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","210","002","14","3.357","35.7","14.3","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","","Course Total","29","3.276","27.6","24.1","37.9","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","24","3.500","41.7","33.3","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","77","2.803","9.1","15.6","36.4","15.6","15.6","6.5",".","1.3",".",".",".",".",".",".",".","."
"Interior Design I","222","001","33","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","13","3.346","30.8","30.8","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226","001","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226","002","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","","Course Total","22","3.523","40.9","22.7","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","14","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","108","2.958","8.3","25.0","31.5","22.2","12.0","0.9",".",".",".",".",".",".",".",".",".","."
"","299","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","41","3.280","34.1","17.1","34.1","4.9","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"Twentieth Century Design","420","001","25","3.580","44.0","36.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","56","3.036","21.4","17.9","39.3","3.6","8.9","5.4","1.8","1.8",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","14","3.538","28.6","42.9","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Special Topics","501","001","15","3.500","40.0","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Material Culture Analysis","512","001","19","3.500","26.3","47.4","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory: Environ Context","520","001","19","3.289","21.1","21.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","015","11","3.806","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","15","3.846","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paper and Nonwovens","616","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Interior Design III","622","001","28","3.054","7.1","28.6","32.1","32.1",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 144 of 397",""
