"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","105
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","53","3.990","96.2","1.9",".",".",".",".",".",".",".",".",".",".",".","1.9",".","."
"Human Dev:Career Strategies","001
110","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","115
001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","115
015","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"","115
026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
027","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
029","8","3.357","62.5",".",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".","12.5"
"","115
030","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","9","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".","22.2",".","."
"Human Dev: Ed Effectiveness","Course Total","110","3.867","81.8","6.4","5.5","0.9",".","0.9",".",".",".",".",".",".",".","1.8",".","2.7"
"Theory & Prac-Interviewing","650
001","120","3.850","77.5","20.0","1.7",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"Independent Reading","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Counslng-Community Settings","791
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guid Prog Plan & Management","803
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","11","3.898","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","23","3.949","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess Tech-Couns Psych","890
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum: Supervision","902
001","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"Leg&Ethicl Base-Couns Psych","926
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Indiv Intervention","001
951","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Rsch: Group Intervention","952
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"","990
005","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
