"MED","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY
144","Dept. Total","707","3.207","34.4","16.3","27.7","4.0","10.6","2.5","1.0","2.4","",".",".","",".","0.6","0.1",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","2.953","15.0","25.0","30.0","5.0","20.0","5.0",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","188","2.965","23.4","14.4","33.5","5.3","16.5","4.3","1.6",".","",".",".","",".",".",".",".","1.1","."
"Junior","","202","3.159","33.2","13.9","33.2","4.5","11.4","2.0","1.5",".","",".",".","",".",".","0.5",".",".","."
"Senior","","198","3.322","37.4","22.7","25.8","3.5","7.1","2.5","0.5",".","",".",".","",".",".",".",".","0.5","."
"Undergraduates","","608","3.142","30.9","17.3","30.8","4.4","11.8","3.0","1.2",".","",".",".","",".",".","0.2",".","0.5","."
"Special","","23","3.400","34.8","30.4","26.1",".","8.7",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","50","3.602","46.0","4.0","4.0","2.0","2.0",".",".","34.0","",".",".","",".","8.0",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","24","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","26","3.955","92.3","3.8","3.8",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","707","3.207","34.4","16.3","27.7","4.0","10.6","2.5","1.0","2.4","",".",".","",".","0.6","0.1",".","0.4","."
