"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","103","001","410","3.160","18.3","32.2","27.3","12.4","5.6","1.2","1.5","0.2",".",".",".",".",".","1.2",".","."
"","103","002","84","3.091","14.3","29.8","28.6","19.0","2.4","2.4","1.2","2.4",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","","Course Total","494","3.148","17.6","31.8","27.5","13.6","5.1","1.4","1.4","0.6",".",".",".",".",".","1.0",".","."
"Intro-Amer Politcs&Governmt","104","001","556","2.875","11.7","16.2","32.0","21.9","15.3","1.6","0.9","0.4",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","106","001","312","3.184","24.0","22.1","33.0","13.5","5.4","1.3","0.6",".",".",".",".",".",".",".",".","."
"","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intro to Political Theory","209","001","210","3.483","38.6","28.6","21.0","4.8","1.9","0.5","0.5","2.9",".",".",".",".",".",".","1.4","."
"Law, Politics and Society","217","001","62","3.041","12.9","25.8","32.3","17.7","6.5","3.2",".","1.6",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","218","001","35","3.386","25.7","42.9","17.1","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","18","3.111","38.9","16.7","16.7","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230","001","174","3.158","19.0","25.9","36.2","5.2","10.9","0.6","0.6","1.7",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","11","3.222","18.2","9.1","45.5","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","26","3.192","23.1","23.1","42.3","7.7",".",".","3.8",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","33","3.328","27.3","27.3","27.3","12.1","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Bargaining in Global Econmy","313","001","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","99","3.447","28.3","35.4","26.3","6.1",".",".",".","4.0",".",".",".",".",".",".",".","."
"China in World Politics","346","001","113","3.415","21.2","53.1","20.4","2.7",".",".","1.8","0.9",".",".",".",".",".",".",".","."
"Third Wrld in Internatl Sys","353","001","17","3.441","17.6","52.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alliances & Intl Politics","367","001","102","3.313","27.5","31.4","24.5","7.8","3.9","1.0","1.0","1.0",".",".",".",".",".",".","2.0","."
"Anal of Internatl Relations","376","001","19","3.412","26.3","21.1","42.1",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","12","3.045","8.3","25.0","33.3","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","401","002","21","3.373","23.8","33.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","33","3.260","18.2","30.3","36.4","9.1","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","165","3.274","18.8","35.2","30.9","10.9","3.6",".",".","0.6",".",".",".",".",".",".",".","."
"The American Presidency","408","001","84","2.795","20.2","13.1","23.8","13.1","19.0","7.1","2.4","1.2",".",".",".",".",".",".",".","."
"Constitutional Law","412","001","170","2.999","13.5","20.0","37.1","12.9","10.0","3.5",".","1.2",".",".",".",".",".",".","1.8","."
"Legislative Process","426","001","52","2.755","17.3","15.4","28.8","9.6","13.5","9.6","3.8",".",".",".",".",".",".","1.9",".","."
"Legislative Internship","427","001","33","3.485","27.3","45.5","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Public Administration","443","001","60","3.233","36.7","16.7","20.0","13.3","11.7","1.7",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","258","3.079","15.5","25.2","27.9","17.1","8.1","1.9",".","3.1",".",".",".",".",".","1.2",".","."
"Campaign Finance","466","001","82","3.068","15.9","29.3","29.3","15.9","3.7","2.4","2.4","1.2",".",".",".",".",".",".",".","."
"Political Elites&Leadership","476","001","44","2.952","6.8","13.6","52.3","9.1","13.6",".",".","2.3",".",".",".",".",".","2.3",".","."
"Political Communications","479","001","55","3.356","23.6","32.7","27.3","9.1","1.8",".",".","5.5",".",".",".",".",".",".",".","."
"Dev Mod West Pol Thought","502","001","58","3.595","46.6","37.9","8.6","3.4",".",".","1.7","1.7",".",".",".",".",".",".",".","."
"Topics in Political Philos","506","001","146","3.361","38.4","21.2","17.8","15.8","5.5",".",".","1.4",".",".",".",".",".",".",".","."
"Science and Government","512","001","41","3.476","31.7","36.6","26.8","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","32","3.195","12.5","40.6","34.4","3.1","3.1",".","3.1","3.1",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 273 of 397",""
