"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"544
Surgery Fundamentals","001","","74","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Fundmntls-Anesthesiology I","001","","74","3.169","17.6","17.6","51.4","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"546
Fundmntls-Anesthesiology II","001","","81","3.475","13.6","69.1","16.0","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","81","2.809","6.2","12.3","45.7","13.6","19.8","2.5",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Radiology","001","","81","3.284","14.8","33.3","46.9","3.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"642","001","","34","4.000","20.6",".",".",".",".",".",".","79.4",".",".",".",".",".",".",".","."
"642","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","38","4.000","23.7",".",".",".",".",".",".","76.3",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","24","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"645","001","","37","4.000","73.0",".",".",".",".",".",".","27.0",".",".",".",".",".",".",".","."
"645","002","","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","47","4.000","68.1",".",".",".",".",".",".","31.9",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","32","4.000","21.9",".",".",".",".",".",".","75.0",".",".",".",".","3.1",".",".","."
"647
Radiology Clinics","001","","20","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"675","002","","26","4.000","19.2",".",".",".",".",".",".","80.8",".",".",".",".",".",".",".","."
"675","004","","22","4.000","31.8",".",".",".",".",".",".","68.2",".",".",".",".",".",".",".","."
"675","010","","55","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","103","4.000","11.7",".",".",".",".",".",".","88.3",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","81","3.537","18.5","71.6","8.6","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","64","4.000","92.2",".",".",".",".",".",".","7.8",".",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","29","4.000","41.4",".",".",".",".",".",".","58.6",".",".",".",".",".",".",".","."
"744
Restrnt/Anesth Exotic Anmls","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Sm Animal Ultrasound Elective","001","","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"751
Large Animal Radiol Elective","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"752
Small Animal Radiol Elective","001","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 392 of 397",""
