"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"630","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","","3","***","","","","","","","","","","","","","","","",""
"654
Teaching in Science & Engr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"690","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","002","","28","3.926","82.1","14.3",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"690","035","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","57","3.956","87.7","10.5",".",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.977","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
