"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"692","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"693","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"693","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"694","016","","65","3.910","89.2","4.6","6.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","68","3.915","89.7","4.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","024","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","029","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","10","3.896","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","46","3.977","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","014","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","034","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","058","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"704
Proseminar-Clinical Psych","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Prosmr-Developmental Psych","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Proseminar-Biological Psych","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Dsgn&Anal-Psych Experiments","001","","24","3.833","79.2","8.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
