"L&S","","","","","","","","","","","","","","","","","","","","",""
"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","53","3.615","56.6","18.9","17.0","3.8",".","1.9",".","1.9",".",".",".",".",".",".",".","."
"Second Semester Japanese","104","001","","81","3.141","16.0","30.9","29.6","11.1","4.9","3.7",".","3.7",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","11","3.222","18.2","18.2","27.3","18.2",".",".",".","18.2",".",".",".",".",".",".",".","."
"Elementary Chinese","121","001","","25","3.935","84.0","4.0","4.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Elementary Japanese","123","001","","24","3.543","50.0","33.3","4.2","4.2",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","14","3.250","35.7","35.7","14.3",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","31","3.097","38.7","16.1","9.7","16.1","12.9","3.2","3.2",".",".",".",".",".",".",".",".","."
"Chinese Calligraphy","231","001","","39","3.600","30.8","46.2","12.8",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","11","3.050",".","45.5","9.1","36.4",".",".",".","9.1",".",".",".",".",".",".",".","."
"Directed Study","299","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","300","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","","15","3.536","40.0","33.3","13.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Arts of China","355","001","","9","2.732",".","22.2","33.3","33.3",".","11.1",".",".",".",".",".",".",".",".",".","."
"History of Buddhist Thought","365","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","","9","3.788","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chinese Ling","432","001","","12","3.605","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Modern Japanese Lit","563","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History-Chinese Literature","652","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Chinese Thought, Part 1","661","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Senior Thesis","691","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdys-Japanese Linguistics","775","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 193 of 397",""
