"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","203
003","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.765","82.4","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
005","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","14","3.607","50.0","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","103","3.675","58.3","26.2","8.7","5.8","1.0",".",".",".",".",".",".",".",".",".",".","."
"","215
001","145","3.111","20.7","16.6","38.6","16.6","4.1","2.8",".",".",".",".",".",".",".","0.7",".","."
"","215
002","25","2.860","12.0","16.0","32.0","12.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"English Lit before 1800","Course Total","170","3.082","19.4","16.5","37.6","15.9","7.6","2.4",".",".",".",".",".",".",".","0.6",".","."
"","216
001","104","3.289","27.9","32.7","20.2","12.5","1.9","1.0","1.9","1.9",".",".",".",".",".",".",".","."
"","216
002","38","3.513","50.0","23.7","18.4","5.3",".",".","2.6",".",".",".",".",".",".",".",".","."
"English Lit 1800-Present","Course Total","142","3.338","33.8","30.3","19.7","10.6","1.4","0.7","2.1","1.4",".",".",".",".",".",".",".","."
"American Lit 1620-Present","217
001","106","3.319","23.6","37.7","27.4","6.6","1.9",".","1.9","0.9",".",".",".",".",".",".",".","."
"Shakespearean Drama","001
220","197","2.912","10.2","19.8","37.6","13.7","14.2","1.5","1.5","1.0",".",".",".",".",".",".","0.5","."
"Introduction to Shakespeare","226
001","37","3.375","35.1","27.0","13.5","18.9","2.7",".",".",".",".",".",".",".",".","2.7",".","."
"","236
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","14","3.536","50.0","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","Course Total","23","3.587","47.8","26.1","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","001
248","23","2.978","17.4","26.1","17.4","21.7","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Women in Literature","250
002","41","3.549","43.9","39.0","12.2","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","21","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","38","3.829","68.4","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
301","14","3.679","64.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","301
002","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
301","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","63","3.714","61.9","23.8","11.1","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302
001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305
001","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","11","3.750","45.5","45.5",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","Course Total","25","3.875","72.0","24.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Expository&Critical Writing","315
001","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Beowulf","322
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of English Language","001
323","22","3.545","27.3","59.1","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","324
001","28","2.982","14.3","21.4","35.7","17.9","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"English Grammar in Use","325
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
