"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","320","2.689","13.8","15.9","18.8","15.6","20.3","8.8","1.9","4.4","0.3",".",".",".",".","0.3",".","."
"","102
001","17","3.429","17.6","5.9","11.8","5.9",".",".",".","52.9",".",".",".",".",".","5.9",".","."
"","102
002","15","3.769","60.0","13.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","32","3.650","37.5","9.4","12.5","3.1",".",".",".","34.4",".",".",".",".",".","3.1",".","."
"","111
001","22","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","111
002","21","3.969","71.4","4.8",".",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"","003
111","22","3.889","77.3",".",".",".","4.5",".",".","18.2",".",".",".",".",".",".",".","."
"","004
111","29","3.328","17.2","72.4","3.4",".",".",".","6.9",".",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","94","3.723","58.5","25.5","1.1",".","1.1",".","2.1","11.7",".",".",".",".",".",".",".","."
"","125
001","18","4.000","16.7",".",".",".",".",".",".","77.8",".",".",".",".",".",".","5.6","."
"","002
125","27","3.971","59.3","3.7",".",".",".",".",".","25.9",".",".",".",".",".",".","11.1","."
"","125
003","19","4.000","10.5",".",".",".",".",".",".","84.2",".",".",".",".",".",".","5.3","."
"","004
125","14","4.000","14.3",".",".",".",".",".",".","57.1",".",".",".",".",".",".","28.6","."
"Adapted Fitness&Pers Traing","Course Total","78","3.979","29.5","1.3",".",".",".",".",".","57.7",".",".",".",".",".",".","11.5","."
"","127
001","23","3.409","13.0","17.4","13.0","4.3",".",".",".","52.2",".",".",".",".",".",".",".","."
"","127
002","20","3.444","20.0",".","25.0",".",".",".",".","55.0",".",".",".",".",".",".",".","."
"","003
127","14","3.333","14.3","14.3","7.1",".","7.1",".",".","50.0","7.1",".",".",".",".",".",".","."
"","127
004","16","3.625","37.5","18.8","18.8",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","127
005","19","3.857","52.6","21.1",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Bowling I","Course Total","92","3.577","27.2","14.1","13.0","1.1","1.1",".",".","42.4","1.1",".",".",".",".",".",".","."
"","129
001","20","3.550","40.0","5.0",".",".",".",".","5.0","50.0",".",".",".",".",".",".",".","."
"","129
002","23","3.895","69.6","8.7","4.3",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"","129
003","19","3.833","36.8","5.3","5.3",".",".",".",".","52.6",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","62","3.789","50.0","6.5","3.2",".",".",".","1.6","38.7",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","001
130","22","3.700","40.9","22.7",".",".","4.5",".",".","27.3",".",".",".",".",".","4.5",".","."
"","001
131","22","3.583","27.3","18.2","4.5",".","4.5",".",".","45.5",".",".",".",".",".",".",".","."
"","002
131","21","3.618","33.3","33.3","14.3",".",".",".",".","14.3","4.8",".",".",".",".",".",".","."
"","003
131","22","3.429","27.3","13.6","13.6","4.5","4.5",".",".","36.4",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","65","3.547","29.2","21.5","10.8","1.5","3.1",".",".","32.3","1.5",".",".",".",".",".",".","."
"","132
001","21","3.136","9.5","19.0","14.3","4.8",".","4.8",".","42.9","4.8",".",".",".",".",".",".","."
"","132
002","23","3.125","8.7","26.1","8.7","4.3",".",".","4.3","43.5","4.3",".",".",".",".",".",".","."
"","132
003","25","3.813","20.0","12.0",".",".",".",".",".","64.0","4.0",".",".",".",".",".",".","."
"","004
132","24","3.618","29.2","29.2","12.5",".",".",".",".","29.2",".",".",".",".",".",".",".","."
"","132
005","24","3.588","16.7","50.0","4.2",".",".",".",".","29.2",".",".",".",".",".",".",".","."
"","132
006","19","3.682","31.6","15.8","10.5",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"","132
007","19","3.333","21.1","10.5","26.3",".","5.3",".",".","36.8",".",".",".",".",".",".",".","."
"","008
132","23","3.441","30.4","21.7","17.4",".",".","4.3",".","26.1",".",".",".",".",".",".",".","."
"","132
009","24","3.750","41.7","20.8",".","4.2",".",".",".","29.2",".",".",".",".",".","4.2",".","."
"","132
010","22","3.692","36.4","13.6","4.5","4.5",".",".",".","40.9",".",".",".",".",".",".",".","."
"Weight Training","Course Total","224","3.522","24.6","22.3","9.4","1.8","0.4","0.9","0.4","38.4","1.3",".",".",".",".","0.4",".","."
"","133
001","19","3.281","21.1","21.1","26.3","15.8",".",".",".","15.8",".",".",".",".",".",".",".","."
"","133
002","22","3.684","54.5","13.6","13.6","4.5",".",".",".","13.6",".",".",".",".",".",".",".","."
"","133
003","16","2.955",".","25.0","18.8","18.8","6.3",".",".","31.3",".",".",".",".",".",".",".","."
"","133
004","16","3.563","25.0","6.3","18.8",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","133
005","22","3.611","9.1","31.8",".",".",".",".",".","59.1",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 95 of 397"
