"Security Anal&Invstmt Mgt 2","836
001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Theory of Finance","920
001","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Seminar-Workshop in Finance","973
001","13","",".",".",".",".",".",".",".","100.0",".","",".",".","",".","",".","",".",".","."
"FINANCE
233","Dept. Total","1045","3.304","29.9","23.1","28.3","10.6","5.2","0.5","0.1","2.3","",".",".","",".","",".","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","217","3.210","27.2","15.7","32.7","21.7","2.3","0.5",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","403","3.129","21.3","17.9","35.2","12.9","9.2","1.0",".","2.2","",".",".","",".","",".","",".","0.2",".","."
"Undergraduates","","622","3.159","23.5","17.0","34.4","15.9","6.8","0.8",".","1.4","",".",".","",".","",".","",".","0.2",".","."
"Special","","53","3.238","32.1","20.8","24.5","7.5","9.4",".","1.9","3.8","",".",".","",".","",".","",".",".",".","."
"Graduate","","362","3.566","40.9","33.4","18.0","2.2","1.9",".",".","3.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","6","3.167",".","33.3","66.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","8","3.313","12.5","37.5","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1045","3.304","29.9","23.1","28.3","10.6","5.2","0.5","0.1","2.3","",".",".","",".","",".","",".","0.1",".","."
