"L&S","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"","101
001","35","3.563","40.0","31.4","11.4","8.6",".",".",".","5.7",".",".",".",".",".",".",".","2.9"
"","101
002","20","3.500","55.0","10.0","15.0",".","5.0","5.0",".","5.0","5.0",".",".",".",".",".",".","."
"Intro to Asian Amer Studies","Course Total","55","3.540","45.5","23.6","12.7","5.5","1.8","1.8",".","5.5","1.8",".",".",".",".",".",".","1.8"
"Asian American Movement","153
001","14","3.921","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","8","3.188","25.0","25.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","540
001","17","3.656","58.8","17.6","11.8",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","101","3.567","49.5","22.8","11.9","5.9","2.0","1.0",".","5.0","1.0",".",".",".",".",".",".","1.0"
