"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"","215","001","","109","2.935","22.9","11.9","27.5","13.8","18.3","3.7","0.9",".",".",".",".",".",".","0.9",".","."
"","215","002","","107","2.897","17.8","10.3","34.6","17.8","15.9","2.8","0.9",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","","Course Total","","216","2.916","20.4","11.1","31.0","15.7","17.1","3.2","0.9",".",".",".",".",".",".","0.5",".","."
"","299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","3.850","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","11","2.500",".","9.1","27.3","27.3","18.2","9.1",".","9.1",".",".",".",".",".",".",".","."
"Farming Systems Management","320","001","","36","3.417","22.2","41.7","33.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Commodity Markets","322","001","","47","2.443","10.6","4.3","23.4","6.4","40.4","4.3","4.3","4.3",".",".",".",".",".",".","2.1","."
"Agric & Natrl Resources Law","336","001","","41","2.902","14.6","12.2","31.7","22.0","19.5",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","13","3.787","69.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Environment&Global Economy","344","001","","16","2.767","12.5","18.8","12.5","12.5","37.5",".",".","6.3",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","20","3.300","50.0","10.0","5.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Econ Analysis-Agric Markets","421","001","","22","3.214","36.4","31.8","9.1","9.1",".",".","9.1",".",".",".",".",".","4.5",".",".","."
"Quant Mthds-Ag & Appl Econ","426","001","","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","19","3.333","42.1","21.1","10.5",".","21.1",".",".","5.3",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","13","3.625","53.8","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","7.7","."
"Agri & Econ Development-Africa","477","001","","8","3.125","25.0","12.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometric Anal","636","001","","12","3.375","33.3","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","7","3.921","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","064","","13","3.308","15.4","46.2","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","32","3.786","62.5","21.9","9.4","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics-Ag Develpmt","732","001","","10","3.583","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"","799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","875","001","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","16","3.585","37.5","37.5","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
