"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","150","2.807","10.7","17.3","31.3","19.3","14.7","2.0","3.3","1.3",".",".",".",".",".",".",".","."
"","120","001","157","2.869","17.2","12.7","29.3","15.9","21.0","3.8",".",".",".",".",".",".",".",".",".","."
"","120","002","152","2.819","18.4","10.5","21.7","19.1","28.3","2.0",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","309","2.845","17.8","11.7","25.6","17.5","24.6","2.9",".",".",".",".",".",".",".",".",".","."
"","127","001","105","2.871","14.3","21.9","25.7","17.1","16.2","1.0","3.8",".",".",".",".",".",".",".",".","."
"","127","002","159","2.877","15.1","18.9","24.5","18.2","20.8","0.6","1.9",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","264","2.875","14.8","20.1","25.0","17.8","18.9","0.8","2.7",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","12","2.955","16.7","16.7","16.7","25.0","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","11","3.000","18.2",".","54.5",".","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","14","2.857","28.6",".","28.6","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","33","3.484","48.5","24.2","9.1","6.1","3.0",".","3.0","3.0",".",".",".",".",".","3.0",".","."
"Human Role-Changing Earth","303","001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","33","3.197","27.3","21.2","21.2","24.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","43","3.279","25.6","37.2","20.9","9.3","4.7",".","2.3",".",".",".",".",".",".",".",".","."
"Climatology","321","001","22","3.452","54.5",".","31.8","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","39","3.028","25.6","10.3","20.5","15.4","20.5",".",".","7.7",".",".",".",".",".",".",".","."
"","339","001","55","2.600","18.2","3.6","32.7","10.9","18.2","12.7","3.6",".",".",".",".",".",".",".",".","."
"","339","002","60","2.442","15.0","13.3","16.7","5.0","31.7","11.7","6.7",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","115","2.517","16.5","8.7","24.3","7.8","25.2","12.2","5.2",".",".",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","44","2.884","11.4","15.9","34.1","15.9","18.2","2.3",".","2.3",".",".",".",".",".",".",".","."
"Europe","349","001","62","3.295","25.8","35.5","19.4","12.9","3.2",".","1.6","1.6",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","27","2.500","18.5","14.8","11.1","14.8","18.5","7.4","11.1","3.7",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","40","3.313","37.5","25.0","10.0","17.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Cartography","375","001","25","3.180","24.0","24.0","24.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","40","3.244","27.5","32.5","12.5","15.0","7.5","2.5",".","2.5",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","15","3.654","46.7","20.0","20.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","16","3.714","62.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","12.5",".","."
"Hist Geog-European Urbanztn","506","001","15","3.929","86.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"The Quaternary Period","527","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Wlderness-Percpt&Preserv","536","001","66","3.539","36.4","36.4","19.7","4.5",".",".",".",".",".",".",".",".",".","3.0",".","."
"Colloq-Undergraduate Majors","565","001","28","3.571","42.9","35.7","17.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","18","3.532","27.8","50.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","25","3.640","52.0","28.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","602","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","."
"Special Topics in Geography","675","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
