"","990
005","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
014","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
040","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","814","3.022","22.5","18.1","30.3","10.2","10.7","3.6","1.4","3.2","",".",".","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","78","2.923","25.6","9.0","38.5","3.8","12.8","7.7","2.6",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","229","2.878","17.5","12.7","35.8","12.7","15.7","3.9","1.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","","192","2.852","14.6","20.3","33.9","13.0","13.5","3.6","1.0",".","",".",".","",".","",".","",".",".",".","."
"Senior","","206","3.215","31.1","25.2","23.8","10.2","5.3","2.9","1.5",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","705","2.977","21.6","18.0","32.1","11.1","11.8","4.0","1.6",".","",".",".","",".","",".","",".",".",".","."
"Special","","8","2.714","12.5",".","37.5","25.0",".","12.5",".","12.5","",".",".","",".","",".","",".",".",".","."
"Graduate","","101","3.455","29.7","19.8","17.8","3.0","4.0",".",".","24.8","",".",".","",".","",".","",".",".","1.0","."
"","Dept. Total","814","3.022","22.5","18.1","30.3","10.2","10.7","3.6","1.4","3.2","",".",".","",".","",".","",".",".","0.1","."
