"L&S","","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","3794","2.978","21.3","17.9","23.8","15.6","14.2","3.0","1.3","2.6","",".",".","",".","",".","0.1","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","567","2.894","15.7","17.8","26.6","19.6","15.9","3.2","1.2",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","1194","2.977","21.2","19.0","22.5","16.8","15.5","3.3","1.3","0.1","",".",".","",".","",".","0.1","0.1",".","0.1"
"Junior","","815","2.893","18.3","17.2","24.2","17.8","16.2","2.9","2.3","0.6","",".",".","",".","",".",".","0.5",".","."
"Senior","","777","2.933","19.2","17.4","24.8","15.4","16.1","3.9","0.8","2.1","",".",".","",".","",".",".","0.4",".","."
"Undergraduates","","3353","2.932","19.1","18.0","24.2","17.2","15.9","3.3","1.4","0.7","",".",".","",".","",".","0.0","0.2",".","0.0"
"Special","","39","3.496","46.2","20.5","25.6","5.1",".","2.6",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","398","3.509","37.2","17.3","20.6","2.8","1.8",".",".","19.3","",".",".","",".","",".","0.5",".",".","0.5"
"Prof Yr 1","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","4","3.200","50.0",".",".",".","25.0",".",".","25.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","3794","2.978","21.3","17.9","23.8","15.6","14.2","3.0","1.3","2.6","",".",".","",".","",".","0.1","0.2",".","0.1"
