"","990
024","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
026","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","43","",".",".",".",".",".","",".","",".","88.4","4.7",".",".","4.7","2.3",".",".","."
"PHMCOL-M
724","Dept. Total","133","3.778","42.9","18.8","3.8",".","1.5","",".","",".","28.6","1.5",".",".","2.3","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","",""
"Senior","","2","3.500","50.0",".",".",".","50.0","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","2","3.500","50.0",".",".",".","50.0","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Graduate","","123","3.783","43.1","18.7","4.1",".","0.8","",".","",".","29.3","1.6",".",".","2.4",".",".",".","."
"Prof Yr 3","","5","3.667","20.0","40.0",".",".",".","",".","",".","40.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","7","3.857","42.9","28.6",".",".",".","",".","",".","28.6",".",".",".",".",".",".",".","."
"","Dept. Total","133","3.778","42.9","18.8","3.8",".","1.5","",".","",".","28.6","1.5",".",".","2.3","0.8",".",".","."
