"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"","101
001","224","2.995","34.4","15.2","16.5","8.9","12.1","7.6","3.6","0.4",".",".",".",".",".","0.9","0.4","."
"","002
101","23","3.750","65.2","8.7","4.3","8.7",".",".",".",".",".",".",".",".",".","13.0",".","."
"Human Language","Course Total","247","3.058","37.2","14.6","15.4","8.9","10.9","6.9","3.2","0.4",".",".",".",".",".","2.0","0.4","."
"Global Language Issues","211
001","27","3.500","29.6","33.3","29.6",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","17","3.563","41.2","29.4","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"General Phonetics","306
001","13","3.654","61.5","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Grammatcl Variablty-Languag","309
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Morphology","322
001","9","3.222","44.4","11.1","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Semantics","340
001","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
373","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","Course Total","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Methods I","426
001","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Junior Honors Tutorial","482
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonological Theories","510
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Syntactic Theories","530
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Seminar","001
978","7","3.550","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","12","",".",".",".",".",".",".",".","25.0","8.3",".",".","58.3",".",".","8.3","."
"Independent Reading","999
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","406","3.295","44.6","16.3","13.8","6.2","6.9","4.4","2.0","1.7","0.2",".",".","1.7","0.5","1.2","0.5","."
