"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"756
Appl Multivariate Analysis","001","26","3.580","53.8","26.9","11.5",".",".",".","3.8","3.8",".",".",".",".",".",".",".","."
"771
Statistical Computing","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Theory of Probability","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","31","3.532","41.9","41.9","12.9",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"990","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","33","",".",".",".",".",".",".",".","84.8",".",".",".","12.1",".",".","3.0","."
"992","001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"992","002","18","3.854","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","47","3.938","85.1","10.6","2.1",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","1698","3.244","34.8","20.6","20.1","10.3","7.0","2.7","1.3","2.4","0.1","0.1",".","0.2","0.2","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","40","3.113","30.0","20.0","25.0","12.5","5.0","5.0","2.5",".",".",".",".",".",".",".",".","."
"Sophomore","","321","3.200","34.0","23.1","18.4","10.6","9.7","3.1","1.2",".",".",".",".",".",".",".",".","."
"Junior","","494","3.080","28.9","18.2","23.9","13.4","9.3","4.3","1.8","0.2",".",".",".",".",".",".",".","."
"Senior","","396","3.096","28.0","17.9","22.5","15.7","9.8","2.8","1.5","1.0",".","0.3",".",".","0.3","0.3",".","."
"Undergraduates","","1251","3.116","30.0","19.4","22.1","13.3","9.4","3.5","1.6","0.4",".","0.1",".",".","0.1","0.1",".","."
"Special","","27","3.620","55.6","11.1","11.1","3.7",".","3.7",".",".",".",".",".",".","7.4",".","7.4","."
"Graduate","","418","3.627","48.1","24.9","14.8","1.7","0.2",".","0.5","8.4",".",".",".","1.0","0.2",".","0.2","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","2","",".",".",".",".",".",".",".","50.0","50.0",".",".",".",".",".",".","."
"","Dept. Total","1698","3.244","34.8","20.6","20.1","10.3","7.0","2.7","1.3","2.4","0.1","0.1",".","0.2","0.2","0.1","0.2","."
