"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"724
Groundwater Flow Modeling","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Conducted Field Trip","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"772
Metamorphic Petrology","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"796
Physics of the Earth II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","53","4.000","43.4",".",".",".",".",".",".","56.6",".",".",".",".",".",".",".","."
"920
Glacial & Pleistocene Geol","001","","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","62","",".",".",".",".",".",".",".","67.7",".",".",".","32.3",".",".",".","."
"991
Seminar: Geophysics","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Adv Independent Reading","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
