"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"","990
071","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
079","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","15","",".",".",".",".","",".","",".","",".","86.7",".",".",".","13.3","",".",".",".","."
"POP HLTH
810","Dept. Total","192","3.788","58.9","13.0","6.8","0.5","",".","",".","",".","19.3",".",".",".","1.0","",".","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.667","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","15","3.739","66.7","26.7","6.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","34","3.761","67.6","23.5","5.9",".","",".","",".","",".","2.9",".",".",".",".","",".",".",".","."
"Undergraduates","","51","3.750","66.7","25.5","5.9",".","",".","",".","",".","2.0",".",".",".",".","",".",".",".","."
"Special","","11","3.762","45.5","18.2","9.1",".","",".","",".","",".","27.3",".",".",".",".","",".",".",".","."
"Graduate","","71","3.723","45.1","12.7","12.7",".","",".","",".","",".","25.4",".",".",".","2.8","",".","1.4",".","."
"Prof Yr 1","","10","4.000","10.0",".",".",".","",".","",".","",".","90.0",".",".",".",".","",".",".",".","."
"Prof Yr 2","","5","2.500",".",".",".","20.0","",".","",".","",".","80.0",".",".",".",".","",".",".",".","."
"Prof Yr 3","","3","4.000","33.3",".",".",".","",".","",".","",".","66.7",".",".",".",".","",".",".",".","."
"Prof Yr 4","","41","3.976","97.6","2.4",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","","59","3.929","71.2","1.7",".","1.7","",".","",".","",".","25.4",".",".",".",".","",".",".",".","."
"","Dept. Total","192","3.788","58.9","13.0","6.8","0.5","",".","",".","",".","19.3",".",".",".","1.0","",".","0.5",".","."
