"TERM : 1034","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2002-2003","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","507","3.221","39.8","4.3","31.8","2.0","11.4","3.6","0.4","6.1","",".",".","",".","",".","0.2",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","50","2.421","10.0",".","36.0",".","44.0","8.0","2.0",".","",".",".","",".","",".",".",".",".","."
"Junior","","109","2.764","24.8","1.8","35.8","2.8","23.9","10.1","0.9",".","",".",".","",".","",".",".",".",".","."
"Senior","","91","3.359","53.8","3.3","26.4","4.4","8.8","3.3",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","251","2.914","32.7","2.0","32.3","2.8","22.3","7.2","0.8",".","",".",".","",".","",".",".",".",".","."
"Special","","9","3.000","22.2",".","22.2",".","22.2",".",".",".","",".",".","",".","",".","11.1",".","22.2","."
"Graduate","","90","3.513","45.6","5.6","14.4","1.1",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","155","3.525","49.0","7.7","41.9","1.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Professionals","","157","3.525","49.0","7.6","41.4","1.3",".",".",".","0.6","",".",".","",".","",".",".",".",".","."
"","Dept. Total","507","3.221","39.8","4.3","31.8","2.0","11.4","3.6","0.4","6.1","",".",".","",".","",".","0.2",".","0.4","."
