"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","100.0"
"Graduate","","2","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","75","3.599","28.0","66.7","4.0","1.3","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","18","3.685","50.0","33.3","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","95","3.613","32.6","60.0","6.3","1.1","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
