"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","221","3.113","22.2","13.1","38.5","19.5","5.9","0.9",".",".",".",".",".",".",".",".",".","."
"","300
002","101","3.061","17.8","14.9","32.7","28.7","3.0","1.0",".","1.0",".",".",".",".",".","1.0",".","."
"Introduction to Finance","Course Total","322","3.097","20.8","13.7","36.6","22.4","5.0","0.9",".","0.3",".",".",".",".",".","0.3",".","."
"Finc Mrkts,Instns&Econ Actv","001
305","38","3.066","26.3","18.4","21.1","10.5","23.7",".",".",".",".",".",".",".",".",".",".","."
"","320
001","29","3.069","10.3","27.6","31.0","27.6","3.4",".",".",".",".",".",".",".",".",".",".","."
"","002
320","57","3.214","26.3","21.1","29.8","14.0","5.3","1.8",".","1.8",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","86","3.165","20.9","23.3","30.2","18.6","4.7","1.2",".","1.2",".",".",".",".",".",".",".","."
"","001
325","28","3.018","14.3","25.0","28.6","14.3","17.9",".",".",".",".",".",".",".",".",".",".","."
"","325
002","41","3.280","22.0","29.3","39.0","2.4","7.3",".",".",".",".",".",".",".",".",".",".","."
"","325
003","29","3.190","31.0","3.4","48.3","6.9","10.3",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","98","3.179","22.4","20.4","38.8","7.1","11.2",".",".",".",".",".",".",".",".",".",".","."
"","365
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
212","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","3","***","","","","","","","","","","","","","","","",""
"Bank Management","001
410","43","3.198","23.3","27.9","34.9","7.0","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","25","3.100","36.0","4.0","32.0",".","28.0",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","536
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
001","24","3.614","41.7","33.3","12.5","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"","630
002","24","3.682","50.0","29.2","8.3","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"Fixd Income&Derivatv Securties","Course Total","48","3.648","45.8","31.3","10.4","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"","635
001","20","3.438","25.0","20.0","35.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","635
002","31","3.783","67.7","19.4","6.5","3.2",".",".",".","3.2",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","51","3.663","51.0","19.6","17.6","2.0",".",".",".","9.8",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","001
700","60","3.458","23.3","56.7","11.7","5.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","705
001","26","3.654","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
030","37","3.446","35.1","37.8","16.2","2.7","8.1",".",".",".",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","Course Total","63","3.532","46.0","25.4","22.2","1.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","48","3.604","39.6","41.7","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","41","3.280","19.5","17.1","63.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","27","3.574","40.7","40.7","14.8",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
149","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
