"L&S","","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","390","3.376","24.1","41.0","25.9","5.1","2.3","0.8","0.3",".",".",".",".",".",".","0.5",".","."
"Mass Communication Practices","202
001","","101","3.520","24.8","55.4","18.8","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","16","3.406","25.0","37.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","","14","3.464","21.4","57.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","","16","3.656","43.8","50.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","46","3.511","30.4","47.8","15.2","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","345
001","","54","3.509","29.6","42.6","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","","10","3.300","10.0","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
001","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
002","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","Course Total","","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics&Community","411
002","","14","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web &","Course Total","","17","3.588","41.2","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","002
447","","18","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449
001","","34","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
100","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","","28","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","","7","3.333","14.3","28.6","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","","63","2.865","12.7","27.0","17.5","22.2","12.7","7.9",".",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561
001","","24","3.870","70.8","25.0",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","","56","3.241","14.3","35.7","30.4","14.3","1.8",".",".","1.8",".",".",".",".",".","1.8",".","."
"Communicatn&Public Opinion","614
001","","69","3.007","21.7","18.8","33.3","8.7","11.6","2.9","2.9",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","001
617","","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621
001","","30","3.433","30.0","33.3","30.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","","121","3.426","17.4","58.7","18.2","5.0",".","0.8",".",".",".",".",".",".",".",".",".","."
"","676
036","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
114","","25","3.782","68.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","40","3.727","60.0","27.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","681
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","697
004","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
005","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 238 of 397",""
