"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","167","3.398","29.9","33.5","25.7","7.2","2.4","0.6",".","0.6",".",".",".",".",".",".",".","."
"","301
002","35","3.886","77.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","202","3.483","38.1","31.7","21.3","5.9","2.0","0.5",".","0.5",".",".",".",".",".",".",".","."
"","001
320","141","3.554","55.3","19.1","13.5","7.1","2.8","0.7","0.7",".",".",".",".",".",".",".",".","0.7"
"","320
002","182","3.258","21.4","31.9","26.4","12.1","6.0",".",".","2.2",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","323","3.388","36.2","26.3","20.7","9.9","4.6","0.3","0.3","1.2",".",".",".",".",".",".",".","0.3"
"Human Develop-Adolescence","321
001","158","3.410","50.0","7.6","25.9","7.6","5.7","1.9",".","1.3",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","521
001","64","3.891","79.7","18.8","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","6","3.824","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","711
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Adolescent Development","721
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"Assessment Tech-Schools II","741
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","45","3.756","66.7","11.1","17.8",".",".",".",".",".",".",".",".",".","4.4",".",".","."
"","761
002","25","3.800","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","70","3.772","65.7","18.6","12.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Test Construction","771
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","31","3.817","67.7","22.6","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Multivariate Analysis","862
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","16","3.892","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Internshp-School Psychology","943
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","990
014","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 93 of 397"
