"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","133
006","24","3.556","33.3","16.7","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","133
007","25","3.833","48.0","4.0","8.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","133
008","23","3.692","26.1","26.1","4.3",".",".",".",".","43.5",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","167","3.537","28.7","18.0","13.8","4.2","0.6",".",".","34.7",".",".",".",".",".",".",".","."
"","134
001","21","3.528","28.6","33.3","23.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","134
002","22","3.594","36.4","22.7","9.1",".","4.5",".",".","27.3",".",".",".",".",".",".",".","."
"","134
003","14","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","134
004","15","3.773","40.0","33.3",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"","134
005","16","3.636","37.5","12.5","18.8",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"","134
006","15","3.773","46.7","20.0","6.7",".",".",".",".","20.0",".",".",".",".",".","6.7",".","."
"","134
007","16","3.846","62.5","12.5","6.3",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","119","3.685","42.9","21.8","11.8",".","0.8",".",".","21.8",".",".",".",".",".","0.8",".","."
"","138
001","16","3.583","25.0","37.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","002
138","15","3.813","33.3","20.0",".",".",".",".",".","40.0",".",".",".",".","6.7",".",".","."
"","138
003","13","3.938","53.8","7.7",".",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"","138
004","16","3.722","25.0","31.3",".",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"","138
005","13","3.650","30.8","38.5","7.7",".",".",".",".","15.4",".",".",".",".","7.7",".",".","."
"Golf I","Course Total","73","3.723","32.9","27.4","4.1",".",".",".",".","32.9",".",".",".",".","2.7",".",".","."
"","140
001","17","3.417","29.4","11.8","23.5",".","5.9",".",".","29.4",".",".",".",".",".",".",".","."
"","140
002","20","3.750","35.0","35.0",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","140
003","19","3.767","47.4","26.3","5.3",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","56","3.659","37.5","25.0","8.9",".","1.8",".",".","26.8",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","20","3.643","35.0","20.0","15.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","15","3.700","60.0",".",".",".",".","6.7",".","33.3",".",".",".",".",".",".",".","."
"","155
001","16","3.042","18.8","18.8","6.3","12.5","18.8",".",".","25.0",".",".",".",".",".",".",".","."
"","002
155","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Badminton I","Course Total","31","3.352","25.8","35.5","9.7","6.5","9.7",".",".","12.9",".",".",".",".",".",".",".","."
"","157
001","13","3.222","23.1","30.8","7.7",".",".",".","7.7","30.8",".",".",".",".",".",".",".","."
"","002
157","19","3.045","5.3","31.6","10.5","5.3",".",".","5.3","42.1",".",".",".",".",".",".",".","."
"","157
003","20","3.474","45.0","35.0","5.0","5.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","52","3.295","25.0","32.7","7.7","3.8",".",".","5.8","25.0",".",".",".",".",".",".",".","."
"","162
001","21","3.643","23.8","4.8",".",".","4.8",".",".","66.7",".",".",".",".",".",".",".","."
"","162
002","16","3.250",".","18.8","18.8",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","162
003","17","3.625","23.5","11.8","11.8",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"Tennis I","Course Total","54","3.524","16.7","11.1","9.3",".","1.9",".",".","61.1",".",".",".",".",".",".",".","."
"","163
001","8","3.667","37.5","25.0","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","163
002","22","3.667","13.6","27.3",".",".",".",".",".","59.1",".",".",".",".",".",".",".","."
"","003
163","11","3.000","27.3",".","9.1",".",".",".","9.1","54.5",".",".",".",".",".",".",".","."
"","163
004","19","3.733","42.1","31.6","5.3",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","60","3.600","28.3","23.3","5.0",".",".",".","1.7","41.7",".",".",".",".",".",".",".","."
"Basketball I","170
001","22","3.300","31.8","13.6","31.8","4.5","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Soccer I","173
001","25","3.357","24.0","36.0","20.0",".",".",".","4.0","16.0",".",".",".",".",".",".",".","."
"","175
001","27","3.833","63.0","22.2","3.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","002
175","30","3.212","23.3","10.0","43.3",".","10.0",".",".","13.3",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 96 of 397"
