"L&S","","","","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & POR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","",""
"102
001","10","2.875","10.0","20.0","20.0",".","30.0",".",".","20.0",".","",".",".","",".","",".","",".",".","."
"102
002","17","2.735","23.5","17.6","11.8","11.8","23.5","5.9","5.9",".",".","",".",".","",".","",".","",".",".","."
"102
004","23","2.357","8.7",".","30.4","13.0","21.7","13.0","4.3","4.3",".","",".",".","",".","",".","","4.3",".","."
"005
102","24","3.000","29.2","20.8","20.8","4.2","16.7","4.2","4.2",".",".","",".",".","",".","",".","",".",".","."
"Course Total
2nd Semester Portuguese","74","2.729","18.9","13.5","21.6","8.1","21.6","6.8","4.1","4.1","",".",".","",".","",".","",".","1.4",".","."
"202
001
4th Semester Portuguese","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".","",".",".","",".","",".","",".",".","."
"226
001
3rd Yr Conversatn&Compositn","11","3.682","36.4","63.6",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"301
001
Intensive Portuguese","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"312
001
4th Yr Compositn&Conversatn","9","3.885","77.8","22.2",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"429
001
Intro to Romance Languages","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"468
001
Survey-Brazl Lit since 1890","7","3.857","71.4","28.6",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"599
000A
Topics-Portug: Study Abroad","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"640
001
Topics in Luso-Braziln Lit","7","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"699
020","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
022","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Directed Study","4","***","","","","","","","","","","","","","","","","","","","",""
"772
001
Smr: Portuguese Literature","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"990
032
Thesis","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PORTUG
Dept. Total
782","143","3.176","42.7","18.2","13.3","4.2","11.9","3.5","2.1","3.5","",".",".","",".","",".","",".","0.7",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","3.000","33.3",".","33.3",".","33.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","25","3.148","28.0","28.0","20.0","4.0","20.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","43","3.085","34.9","23.3","11.6","4.7","16.3","4.7","2.3","2.3","",".",".","",".","",".","",".",".",".","."
"Senior","41","2.914","41.5","7.3","17.1","7.3","9.8","7.3","4.9","2.4","",".",".","",".","",".","",".","2.4",".","."
"Undergraduates","112","3.038","35.7","17.9","16.1","5.4","15.2","4.5","2.7","1.8","",".",".","",".","",".","",".","0.9",".","."
"Special","6","3.700","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","25","3.888","72.0","12.0","4.0",".",".",".",".","12.0","",".",".","",".","",".","",".",".",".","."
"Dept. Total","143","3.176","42.7","18.2","13.3","4.2","11.9","3.5","2.1","3.5","",".",".","",".","",".","",".","0.7",".","."
