"L&S","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","1957","3.145","26.9","24.1","22.1","12.1","6.6","2.4","2.1","2.5","0.2",".","",".","0.2","0.3","0.4","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","174","2.800","12.6","20.7","25.3","20.7","11.5","3.4","4.6","0.6",".",".","",".",".",".","0.6",".","."
"Sophomore","","537","3.021","19.6","24.8","25.1","15.6","9.1","2.4","2.6","0.2",".",".","",".",".",".","0.4","0.2","."
"Junior","","521","3.206","27.6","25.9","24.6","11.3","5.6","1.7","1.9","1.0","0.2",".","",".",".",".","0.2",".","."
"Senior","","616","3.248","33.3","25.6","20.0","9.3","5.2","2.9","1.6","1.8",".",".","",".",".",".","0.3",".","."
"Undergraduates","","1848","3.124","25.8","25.0","23.3","12.8","7.0","2.5","2.3","1.0","0.1",".","",".",".",".","0.3","0.1","."
"Special","","12","3.650","50.0","8.3","8.3","8.3",".",".",".","16.7",".",".","",".",".",".","8.3",".","."
"Graduate","","96","3.899","46.9","9.4","2.1",".",".",".",".","29.2","3.1",".","",".","4.2","5.2",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","Dept. Total","1957","3.145","26.9","24.1","22.1","12.1","6.6","2.4","2.1","2.5","0.2",".","",".","0.2","0.3","0.4","0.1","."
