"","775
018","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","775
021","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","775
023","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","775
026","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Externship","Course Total","23","",".",".",".",".",".",".","",".","100.0",".",".",".","",".",".",".",".","."
"SURG SCI
938","Dept. Total","1058","3.442","29.2","15.5","12.8","2.1","2.0","0.2","",".","38.2",".",".",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Special","","1","",".",".",".",".",".",".","",".","100.0",".",".",".","",".",".",".",".","."
"Prof Yr 1","","22","4.000","31.8",".",".",".",".",".","",".","68.2",".",".",".","",".",".",".",".","."
"Prof Yr 2","","148","3.705","57.4","8.8","27.0","4.1","2.7",".","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 3","","602","3.214","16.9","25.1","15.8","2.7","2.8","0.3","",".","36.4",".",".",".","",".",".",".",".","."
"Prof Yr 4","","285","4.000","40.4",".",".",".",".",".","",".","59.3",".",".",".","",".","0.4",".",".","."
"Professionals","","1057","3.442","29.2","15.5","12.8","2.1","2.0","0.2","",".","38.1",".",".",".","",".","0.1",".",".","."
"","Dept. Total","1058","3.442","29.2","15.5","12.8","2.1","2.0","0.2","",".","38.2",".",".",".","",".","0.1",".",".","."
