"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","12","",".",".",".",".",".",".",".","25.0","8.3",".",".","58.3",".",".","8.3","."
"Independent Reading","999
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","406","3.295","44.6","16.3","13.8","6.2","6.9","4.4","2.0","1.7","0.2",".",".","1.7","0.5","1.2","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","3.093","42.7","12.2","13.4","11.0","9.8","4.9","4.9",".",".",".",".",".",".","1.2",".","."
"Sophomore","","134","3.218","40.3","17.9","15.7","7.5","12.7","4.5","0.7",".",".",".",".",".",".","0.7",".","."
"Junior","","69","3.138","49.3","8.7","11.6","5.8","4.3","10.1","4.3",".",".",".",".",".",".","4.3","1.4","."
"Senior","","75","3.616","50.7","24.0","16.0","2.7",".","1.3",".","4.0",".",".",".",".","1.3",".",".","."
"Undergraduates","","360","3.254","44.7","16.1","14.4","6.9","7.8","5.0","2.2","0.8",".",".",".",".","0.3","1.4","0.3","."
"Special","","3","3.250",".","33.3","33.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Graduate","","43","3.781","46.5","16.3","7.0",".",".",".",".","7.0","2.3",".",".","16.3","2.3",".","2.3","."
"","Dept. Total","406","3.295","44.6","16.3","13.8","6.2","6.9","4.4","2.0","1.7","0.2",".",".","1.7","0.5","1.2","0.5","."
