"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","12","3.167","25.0","8.3","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
009","15","3.367","6.7","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
100","15","3.300","33.3","26.7","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","100
012","13","3.462","23.1","53.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","12","3.292",".","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
014","12","3.250","25.0","33.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
015","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
100","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","12","3.292","41.7","33.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","018
100","12","3.042","25.0","25.0","25.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","019
100","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","13","3.231","23.1","46.2","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","021
100","11","2.364",".","45.5","9.1","9.1",".","27.3","9.1",".",".",".",".",".",".",".",".","."
"","100
022","8","3.188","12.5","50.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
023","13","3.077","23.1","38.5","15.4","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","100
024","13","3.231",".","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","16","3.250","12.5","43.8","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","026
100","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","027
100","15","3.133","13.3","46.7","6.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","100
028","10","3.100","20.0","30.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","029
100","14","3.143","14.3","42.9","21.4","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"","030
100","14","3.250","14.3","35.7","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","12","3.208","16.7","41.7","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","032
100","14","3.464","42.9","21.4","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
033","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","12","3.167","16.7","16.7","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","036
100","12","3.125","8.3","33.3","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
038","13","2.846",".","38.5","30.8","23.1",".",".","7.7",".",".",".",".",".",".",".",".","."
"","100
039","13","3.154",".","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","040
100","14","2.929","14.3","35.7","21.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"","100
045","14","3.214","21.4","28.6","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","13","3.462","30.8","46.2","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
047","13","2.654","7.7","15.4","38.5","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"","100
048","14","3.071","7.1","35.7","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
049","13","3.269",".","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
050","15","3.250",".","53.3","33.3","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","100
056","10","2.900","10.0","20.0","40.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","100
057","13","3.308","15.4","46.2","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","058
100","12","3.167","8.3","50.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
062","9","2.889",".","55.6","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","100
064","13","3.125","30.8","7.7","30.8",".","23.1",".",".",".",".",".",".",".",".",".",".","7.7"
"Intro to Speech Composition","Course Total","541","3.224","18.7","40.7","23.1","9.8","4.4","1.5","1.5",".",".",".",".",".","0.2",".",".","0.2"
"","105
001","11","3.091","9.1","27.3","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","17","3.206","11.8","35.3","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 178 of 397",""
