"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.986","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"717","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"717","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Polymer Processing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"739
Adv Automation & Robotics","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Advanced Vibrations","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"747","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Comp Ctrl-Machines&Proc","Course Total","","3","***","","","","","","","","","","","","","","","",""
"751
Matrix Meth-Dsgn&Anal-Mech","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Topics in Thermodynamics","001","","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"769
Combustion Processes","001","","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","10","",".",".",".",".",".",".",".","40.0",".",".",".","60.0",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"790","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"790","056","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","71","",".",".",".",".",".",".",".","54.9",".",".",".","45.1",".",".",".","."
"890","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
