"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"101","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","2","***","","","","","","","","","","","","","","","",""
"102","001","","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","10","3.400","60.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"102","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","25","3.600","64.0","20.0","8.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"104","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"104","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"148
First Year Composition","001","","10","3.500","50.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","250","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","251","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","253","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","254","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","28","3.750","60.7","28.6","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichard","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","8","3.375","50.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"205","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","269","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","270","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","31","3.726","71.0","16.1","9.7",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 262 of 397",""
