"MED","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"212
001
The Physician in History","33","3.530","42.4","36.4","15.2","3.0",".","3.0",".","",".",".","",".",".","",".","",".",".",".","."
"331
001
Science, Medicine&Religion","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"508
001
Health, Disease&Healing II","14","3.357","28.6","21.4","42.9","7.1",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"513
001
Enivr&Hlth-Global Perspective","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"531
001
Women & Health-Amer History","17","3.353","29.4","29.4","23.5","17.6",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"558
001
Ethical Probs-Biomed Tech","27","3.340","18.5","33.3","37.0",".","3.7",".",".","","7.4",".","",".",".","",".","",".",".",".","."
"562
001
Byzantine Med & Pharmacy","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"001
668
Topics in History of Med","11","3.400","18.2","36.4","36.4",".",".",".",".","","9.1",".","",".",".","",".","",".",".",".","."
"699
001
Ind Study in Med History","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"720
001
Hist Perspectives-Medicine","14","",".",".",".",".",".",".",".","","100.0",".","",".",".","",".","",".",".",".","."
"734
001
Grad Studies in Med Ethics","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"919
001
Grad Studies-Medical Hist","7","4.000","14.3",".",".",".",".",".",".","","71.4",".","",".",".","",".","","14.3",".",".","."
"999
001
Advanced Independent Study","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
Dept. Total
452","141","3.408","27.7","24.1","23.4","4.3","2.1","0.7","",".","17.0","",".",".","",".","",".","0.7",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","7","3.357","14.3","42.9","42.9",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","19","3.553","47.4","42.1",".","5.3",".","5.3","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","20","3.192","30.0","15.0","35.0","10.0","10.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","67","3.398","28.4","26.9","34.3","4.5","1.5",".","",".","4.5","",".",".","",".","",".",".",".",".","."
"Undergraduates","113","3.385","31.0","28.3","29.2","5.3","2.7","0.9","",".","2.7","",".",".","",".","",".",".",".",".","."
"Special","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","13","4.000","30.8",".",".",".",".",".","",".","61.5","",".",".","",".","",".","7.7",".",".","."
"Prof Yr 1","12","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","14","3.500",".","7.1",".",".",".",".","",".","92.9","",".",".","",".","",".",".",".",".","."
"Dept. Total","141","3.408","27.7","24.1","23.4","4.3","2.1","0.7","",".","17.0","",".",".","",".","",".","0.7",".",".","."
