"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","237","3.186","21.5","24.1","32.1","10.1","7.2","1.7",".","3.0",".",".",".",".","0.4",".",".","."
"","202
001","315","2.732","14.9","21.3","16.5","16.8","17.8","10.2","1.9","0.3","0.3",".",".",".",".",".",".","."
"","202
002","336","3.060","24.1","26.2","17.3","12.5","13.7","4.8","0.6","0.9",".",".",".",".",".",".",".","."
"","202
003","310","2.650","16.1","13.5","17.1","16.8","24.2","10.6","1.3","0.3",".",".",".",".",".",".",".","."
"","004
202","289","2.720","15.2","18.3","17.6","16.3","22.8","7.6","2.1",".",".",".",".",".",".",".",".","."
"","005
202","333","2.653","19.2","10.2","16.5","17.1","24.9","10.5","1.5",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1583","2.766","18.1","17.9","17.0","15.9","20.6","8.7","1.5","0.3","0.1",".",".",".",".",".",".","."
"","210
001","65","2.836","18.5","16.9","21.5","21.5","10.8","6.2","3.1","1.5",".",".",".",".",".",".",".","."
"","210
002","65","2.685","13.8","12.3","18.5","29.2","18.5","4.6","3.1",".",".",".",".",".",".",".",".","."
"","003
210","57","2.588","12.3","12.3","22.8","7.0","38.6","3.5","3.5",".",".",".",".",".",".",".",".","."
"","210
004","58","2.810","12.1","13.8","29.3","20.7","20.7","3.4",".",".",".",".",".",".",".",".",".","."
"","210
005","55","2.636","14.5","7.3","23.6","14.5","34.5","3.6","1.8",".",".",".",".",".",".",".",".","."
"Psychometric Methods","Course Total","300","2.714","14.3","12.7","23.0","19.0","24.0","4.3","2.3","0.3",".",".",".",".",".",".",".","."
"","225
001","40","2.550","7.5","17.5","20.0","12.5","32.5","7.5","2.5",".",".",".",".",".",".",".",".","."
"","225
002","44","2.568","20.5","4.5","22.7","9.1","29.5","9.1","4.5",".",".",".",".",".",".",".",".","."
"","225
003","40","2.550","15.0","7.5","25.0","7.5","32.5","10.0","2.5",".",".",".",".",".",".",".",".","."
"","004
225","44","2.625","15.9","4.5","27.3","11.4","36.4",".","4.5",".",".",".",".",".",".",".",".","."
"","225
005","43","2.558","7.0","7.0","39.5","11.6","27.9",".","7.0",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","211","2.571","13.3","8.1","27.0","10.4","31.8","5.2","4.3",".",".",".",".",".",".",".",".","."
"Honors-Psychometric Methods","280
001","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","25","3.680","60.0","20.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","12","3.083",".","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","386
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","386
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Motivation","001
409","99","2.843","19.2","19.2","15.2","26.3","12.1","5.1","3.0",".",".",".",".",".",".",".",".","."
"","411
003","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
015","25","3.440","28.0","32.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
048","22","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
050","24","3.208","12.5","25.0","54.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","411
051","25","3.200","16.0","20.0","52.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","056
411","24","3.604","58.3","16.7","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","061
411","24","3.688","54.2","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","411
062","22","3.614","50.0","31.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","411
065","21","3.619","57.1","28.6",".","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","202","3.535","45.5","23.3","25.2","4.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","414
001","150","2.684","4.0","6.0","49.3","16.0","16.0","6.0","0.7","0.7",".",".",".",".","0.7",".","0.7","."
"Psychology of Language","421
001","26","3.596","50.0","42.3",".",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"History of Psychology","430
001","18","3.206","33.3","11.1","22.2","16.7","11.1",".",".",".",".",".",".",".",".",".","5.6","."
"Animal Behavior-Primates","001
450","342","3.343","29.5","32.2","19.3","13.7","2.6","1.2",".","1.2",".",".",".",".",".",".",".","0.3"
"Behavioral Neuroscience","454
001","59","3.464","54.2","11.9","13.6","3.4","6.8","1.7","1.7","6.8",".",".",".",".",".",".",".","."
"","455
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
455","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
455","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 278 of 397",""
