"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","52","3.550","42.3","36.5","13.5",".","1.9",".","1.9",".",".",".",".",".",".","3.8",".","."
"Technical Info Resources","151
001","19","3.806","73.7","10.5","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","155
001","17","2.794","11.8","17.6","23.5","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","155
003","17","3.559","47.1","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","16","3.300","25.0","18.8","37.5","12.5",".",".",".",".",".",".",".",".",".","6.3",".","."
"","155
005","17","3.559","47.1","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
155","16","3.063","6.3","12.5","75.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.475","60.0","15.0","10.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
008","17","3.500","58.8","17.6","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","009
155","18","3.176","22.2","5.6","50.0","16.7",".",".",".",".",".",".",".",".","5.6",".",".","."
"","155
010","18","3.583","55.6","16.7","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","15","2.967","6.7","26.7","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","012
155","15","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","186","3.323","34.9","20.4","27.4","11.3","3.2","0.5","1.1",".",".",".",".",".","0.5","0.5",".","."
"Freshman Independent Study","199
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","18","3.556","55.6","33.3","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","002
275","19","3.632","57.9","31.6","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","275
003","17","3.618","23.5","76.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","54","3.602","46.3","46.3","3.7",".",".","1.9","1.9",".",".",".",".",".",".",".",".","."
"Basic Technical Japanese I","330
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","4","***","","","","","","","","","","","","","","","",""
"","375
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","17","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"User Manuals/Software Docmt","392
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","397
001","163","3.571","39.3","46.6","9.8","2.5",".","1.2","0.6",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Senior Independent Study","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","29","3.571","44.8","27.6","17.2","6.9",".",".",".",".",".",".",".",".","3.4",".",".","."
"Engr/Bus Data Communications","519
001","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","5","***","","","","","","","","","","","","","","","",""
"Tech&Professnl Communicatn","597
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Technical Info","617
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 123 of 397",""
