"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"790","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","54","",".",".",".",".",".",".",".","66.7","1.9",".",".","31.5",".",".",".","."
"822
Envr Engr:Phy/Chem Treatmnt","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","062","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"890","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","53","",".",".",".",".",".",".",".","58.5",".",".",".","41.5",".",".",".","."
"909
Smr-Water Chemistry Rsch","001","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919
Hydraulic Engr & Fluid Mech","001","","10","3.722","40.0","50.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"929
Seminar-Envir Engineering","001","","25","3.880","88.0",".","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"939
Smr-Geotechnical Engr","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"949
Smr-Structural Engineering","001","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"950
Envr Monitoring Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar-Geospatial Info Engr","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Colloq-Trnsportatn Mgmt&Policy","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
