"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Elem Teaching Practicum II","Course Total","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","72","3.965","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
369","","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","73","3.938","90.4","6.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","28","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
370","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
370","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","99","3.924","86.9","11.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","61","3.918","88.5","6.6","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","61","3.918","86.9","9.8","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","79","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
375","","17","3.894","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
375","","15","3.905","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","63","3.953","95.2","1.6","1.6",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","17","3.559","11.8","88.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Teaching-Japanese","408
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
001","","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","70","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 84 of 397"
