"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.158","26.3","21.1","31.6","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","002
101","15","3.467","53.3","13.3","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","101
004","17","3.647","64.7","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","25","3.620","56.0","28.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","101
008","17","3.706","70.6","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
011","20","3.605","50.0","20.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
014","22","3.523","50.0","22.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","015
101","17","3.375","35.3","17.6","29.4","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","017
101","12","3.100","33.3","8.3","8.3","25.0",".","8.3",".","16.7",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","164","3.491","49.4","17.7","17.1","8.5","3.7","1.2",".","2.4",".",".",".",".",".",".",".","."
"","001
102","16","3.438","31.3","31.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.357","38.1","9.5","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","23","3.348","30.4","26.1","30.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","18","3.250","22.2","38.9","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
011","17","3.088","17.6","29.4","17.6","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
012","20","3.132","30.0","5.0","30.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","013
102","21","2.950","14.3","9.5","33.3","28.6","9.5",".",".",".",".",".",".",".",".","4.8",".","."
"Second Semester Italian","Course Total","158","3.288","29.1","24.1","25.9","13.9","5.7",".",".","0.6",".",".",".",".",".","0.6",".","."
"Second Semester Italian Honors","182
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","21","3.667","57.1","23.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","41","3.598","48.8","26.8","19.5","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","8","2.688",".","25.0","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","002
203","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","16","3.250","50.0","25.0","6.3",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"","006
203","19","3.316","26.3","31.6","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
008","13","3.423","38.5","23.1","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","73","3.329","34.2","31.5","19.2","6.8","4.1","2.7","1.4",".",".",".",".",".",".",".",".","."
"","204
001","21","3.714","57.1","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","25","3.896","80.0","12.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","46","3.811","69.6","21.7","4.3","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","11","3.409","45.5","18.2","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian for Business","001
313","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","14","3.833","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Il Seicento E L'Arcadia","641
001","10","3.400","40.0","30.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
