"Intensive Kazakh II","366
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Third Yr Cen Asian Lang II","432
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Prosmr:Rise-Cen Asian Natns","540
001","","8","3.714","50.0","25.0","12.5",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","12.5"
"Fiction&Ethnography in Turkey","579
001","","6","3.833","66.7","33.3",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"CEN ASIA
218","Dept. Total","","29","3.767","58.6","27.6","6.9",".","",".","",".","",".","3.4","",".",".","",".","",".","",".",".",".","3.4"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"218
CEN ASIA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.571","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.540","28.6","57.1","14.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","8","3.929","62.5","12.5",".",".","",".","",".","",".","12.5","",".",".","",".","",".","",".",".",".","12.5"
"Undergraduates","","","17","3.698","47.1","29.4","11.8",".","",".","",".","",".","5.9","",".",".","",".","",".","",".",".",".","5.9"
"Special","","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","11","3.897","81.8","18.2",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","29","3.767","58.6","27.6","6.9",".","",".","",".","",".","3.4","",".",".","",".","",".","",".",".",".","3.4"
