"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","4","4.000","75.0",".",".",".","",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","6","4.000","83.3",".",".",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Special","9","",".",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","11.1","88.9"
"Prof Yr 1","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","73","3.352","27.4","24.7","47.9",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","250","3.642","28.8","30.0","9.6","0.4","",".","",".","",".","31.2","",".",".","",".","",".","",".",".",".","."
"Professionals","325","3.488","28.6","28.6","18.5","0.3","",".","",".","",".","24.0","",".",".","",".","",".","",".",".",".","."
