"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"600","003","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Computerzd Land Info Systms","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.982","90.5",".","4.8",".",".",".",".",".",".",".",".","4.8",".",".",".","."
"713
Studies - Environment & Health","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"718
Water Res Mgt Pract Pl Smr","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Envr Monitorng Practicum II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"772
Pract-Transportatn Mgmt&Policy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","10.0","10.0",".","."
"900","001","","9","3.500","22.2","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"900","002","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar","Course Total","","31","3.500","6.5","9.7","9.7",".",".",".",".","71.0",".",".",".",".",".",".","3.2","."
"950
Envr Monitoring Seminar","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Colloq-Trnsportatn Mgmt&Policy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"976
Conservtn Biol&Sustainable Dev","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
