"EGR","","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"741
Semiconductor Diode Lasers","001","","23","3.750","69.6","4.3","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"742
Computatnl Meth-Electromagntcs","001","","21","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","36","3.206","22.2","22.2","30.6","11.1","8.3",".",".","5.6",".",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Biomedical Instrumentation","001","","17","3.412","41.2","23.5","29.4",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"777
Nonlin Dyn,Bifurcatn,Chaos","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"790","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","044","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"790","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"790","054","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","056","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","060","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 118 of 397",""
