"MED","","","","","","","","","","","","","","","","","","","","","",""
"PATHOLOGY AND LABORATOR","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"PATH
704","Dept. Total","611","3.226","25.7","17.7","33.1","11.6","4.4","2.0","0.2","4.6","",".",".","",".","",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","18","2.990","11.1","22.2","44.4","11.1","5.6","5.6",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","84","2.884","10.7","16.7","39.3","16.7","10.7","6.0",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","100","2.910","10.0","18.0","35.0","24.0","9.0","4.0",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","202","2.906","10.4","17.8","37.6","19.8","9.4","5.0",".",".","",".",".","",".","",".",".",".",".","."
"Special","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","139","3.646","42.4","21.6","12.2",".",".",".",".","20.1","",".",".","",".","",".","3.6",".",".","."
"Prof Yr 1","","270","3.310","31.5","14.8","39.3","10.4","3.0","0.7","0.4",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","5","2.906",".","20.0","40.0","40.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","4","3.750","75.0",".","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","280","3.310","31.4","15.0","38.9","10.7","2.9","0.7","0.4",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","622","3.226","27.0","17.4","32.5","11.4","4.3","1.9","0.2","4.5","",".",".","",".","",".","0.8",".",".","."
