"AIR FORCE AEROSPACE STUDI","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foundations of US Air Force I","101
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","102
001","","14","3.964","92.9","7.1",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","102
002","","7","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Foundations of US Air Force II","Course Total","","21","3.976","95.2","4.8",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","202
001","","8","3.813","75.0","12.5","12.5",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","202
002","","11","3.727","63.6","18.2","18.2",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","202
003","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Evolution of US Air & Space II","Course Total","","21","3.738","66.7","14.3","19.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Studies II","304
001","","19","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Preparation for Active Duty","402
001","","20","3.900","85.0","10.0","5.0",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","82","3.919","85.4","7.3","7.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","13","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","20","3.841","75.0","15.0","10.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","16","3.875","75.0","6.3","18.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","31","3.934","90.3","6.5","3.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","80","3.916","85.0","7.5","7.5",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","82","3.919","85.4","7.3","7.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
