"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
001","","21","4.000","90.5",".",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","1
002","","24","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","","45","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Modern Dance I","001
11","","24","3.875","95.8",".",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","","26","3.660","46.2","38.5","7.7","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"Modern Dance II","12
001","","21","3.737","71.4","9.5","4.8",".",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","","12","3.969","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-Movement for Dancers","161
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance","001
205","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","21
001","","18","3.588","16.7","77.8",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","002
21","","18","3.618","33.3","50.0","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Ballet I","Course Total","","36","3.603","25.0","63.9","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212
001","","14","3.607","50.0","35.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","","25","3.708","44.0","48.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","","19","3.026","42.1","5.3","21.1","10.5","10.5","5.3","5.3",".",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231
001","","21","3.947","81.0","9.5",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","255
001","","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","255
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","","26","3.788","73.1","15.4","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Dance: An Intro Survey","265
001","","23","3.391","52.2","8.7","13.0","17.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"","31
001","","28","3.577","50.0","25.0","10.7","3.6",".","3.6",".","3.6",".","3.6",".",".",".",".",".","."
"","31
002","","25","3.429","40.0","24.0","12.0",".",".","8.0",".","16.0",".",".",".",".",".",".",".","."
"","003
31","","42","3.461","42.9","16.7","19.0","4.8","7.1",".",".","7.1",".",".",".",".",".","2.4",".","."
"Modern Jazz Dance","Course Total","","95","3.488","44.2","21.1","14.7","3.2","3.2","3.2",".","8.4",".","1.1",".",".",".","1.1",".","."
"Modern Dance Technique VI","312
001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","","12","3.389","25.0","25.0","16.7",".","8.3",".",".","25.0",".",".",".",".",".",".",".","."
"Creative Dance for Children","371
001","","17","3.471","64.7","5.9","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Practicum in Dance","379
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","","13","3.750","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","6","3.643","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","399
056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","46","3.853","67.4","23.9","4.3",".",".",".",".",".",".",".",".",".",".","2.2","2.2","."
